2022-10-13 12:31:55 INFO     initialize serial...
2022-10-13 12:31:55 INFO     initialize mqtt...
2022-10-13 12:31:55 INFO     waiting MQTT connected ...
2022-10-13 12:31:55 INFO     MQTT connect successful!
2022-10-13 12:31:55 INFO     Add new device:  homeassistant/switch/sds_wallpad/sds_elevator/config
2022-10-13 12:31:55 INFO     initial state:   sds/virtual/entrance/ev/state = OFF
2022-10-13 12:31:55 INFO     Add new device:  homeassistant/switch/sds_wallpad/sds_gas_cutoff/config
2022-10-13 12:31:55 INFO     initial state:   sds/virtual/entrance/gas/state = OFF
2022-10-13 12:31:55 INFO     subscribe homeassistant/status
2022-10-13 12:31:55 INFO     subscribe sds/virtual/+/+/command
2022-10-13 12:31:55 INFO     subscribe sds/+/+/+/command
2022-10-13 12:31:56 INFO     start loop ...
2022-10-13 12:31:56 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_6/config
2022-10-13 12:31:56 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_1/config
2022-10-13 12:31:56 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_2/config
2022-10-13 12:31:56 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_3/config
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power1/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power2/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power3/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power4/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power5/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power6/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power7/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/31/power8/state = OFF (b079310078)
2022-10-13 12:31:56 INFO     Add new device:  homeassistant/sensor/sds_wallpad/sds_gas_valve_1/config
2022-10-13 12:31:56 INFO     Add new device:  homeassistant/light/sds_wallpad/sds_light_4/config
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/16/power1/state = OFF (b07916005f)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/16/power2/state = OFF (b07916005f)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/16/power3/state = OFF (b07916005f)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/16/power4/state = OFF (b07916005f)
2022-10-13 12:31:56 INFO     publish to HA:   sds/light/16/power5/state = OFF (b07916005f)
